case,primary_nm,secondary_nm,time_h,shell,A,S,C,R,B,T,U,V,W,P,Q,L,E,D,X,LA,LS,J,H,beta_nm_per_copy,initial_cell_weight,optical_weight,damage_in_per_h,repair_per_h,hazard_per_h,commitment_flux_per_h,permeabilization_flux_per_h,delivery_per_initial_cell_per_h
sampled_peak,8.25404185268019,3.0,24.0,2,2.8025442267382457,0.1178723509275757,1.1048851191336804,62.36303646496678,150.95733340719136,57.782940499692785,52.889305714990904,129.43211215187185,45.69276990348651,882.6846192933021,0.3906064337346058,0.8398857444410809,0.10632474293518361,0.05378951262373586,0.0,104.04205475286616,25.452864507124243,1226.2458624568812,0.05020296484163639,0.004151347667934616,0.25925925925925924,0.85,0.042856540271784975,0.01128115617715488,0.04744880015562723,0.03985157084154505,0.01772079048919727,127.15475055330405
sampled_peak,8.25404185268019,3.0,24.0,3,4.370124499111192,0.1467084243903428,2.135382996358823,33.501526293625396,130.28004767099011,63.081534956931556,24.412072963037843,138.355093547857,63.83274191044018,1806.1665266799446,0.6117531373528351,0.498462354238094,0.23038505267795975,0.27115259308394757,0.0,199.2367177044778,58.9788414025493,2841.431078302942,0.23923383710340432,0.004151347667934616,0.7037037037037037,1.0,0.03748379581546808,0.017668123431450775,0.08583545512086245,0.042785743036643356,0.03839750877965996,177.6350261080612
sampled_peak,8.25404185268019,3.0,48.0,1,3.2281783841494582,0.12437853824686596,1.3263872536090464,43.672487338770964,125.26516261464243,50.62062573875227,22.827470464076526,135.99296965095357,50.77911199768364,1674.0730005013959,0.6818287503281798,0.257526897987248,0.19244592215181375,0.5500271798609385,0.0,268.2320973612407,64.32348416402131,3098.9206064749364,0.4340229519294948,0.004151347667934616,0.037037037037037035,0.7,0.029878124036526545,0.019691986496445362,0.09320514084622855,0.02400283079859378,0.032074320358635625,141.30912468256992
sampled_peak,8.25404185268019,3.0,48.0,2,3.665231058463171,0.13547612845184562,1.63939966502526,35.44508216152441,114.92228129485152,51.041703078820575,15.58641276494207,125.85251325200818,53.61638740168004,2152.674163213974,0.7505736979112406,0.1080674686966952,0.11423396991635393,0.7776985613869513,0.0,363.4950773955371,98.7342884205969,4756.734261658176,0.5325036586608987,0.004151347667934616,0.25925925925925924,0.85,0.025546577048661877,0.021677418437901188,0.09872439181225706,0.010668895121771362,0.019038994986058988,149.20475121184845
sampled_peak,8.25404185268019,3.0,48.0,3,4.503673761852775,0.1510079164263739,2.24666424211531,26.767632335699084,106.03026997550559,52.90366584421957,10.413556902905222,115.15404505696202,56.80561503404239,2620.9730778997414,0.7806612433872863,0.04868836967141448,0.0612611487643732,0.8900504815642132,0.0,459.4333179061267,143.42689556895007,6909.895631088301,0.523801878138795,0.004151347667934616,0.7037037037037037,1.0,0.023814633400507323,0.022546380826096613,0.10071037079959347,0.0049034237632358335,0.010210191460728867,158.07979741516024
sampled_peak,8.25404185268019,3.0,72.0,1,3.218144967787567,0.13255900771782694,1.39412959435709,37.06446679947486,104.48132514032254,45.293322829448684,13.629053080898629,112.74600340371552,47.771402982004986,2202.6631874235277,0.7747635967177798,0.024347347714064087,0.032273823842724154,0.9433788284432121,0.0,508.6879716039995,133.3158563229222,6422.774818532583,0.46413940362930767,0.004151347667934616,0.037037037037037035,0.7,0.023236283599488202,0.022376050111058813,0.10033922384077434,0.002442993972210642,0.005378970640454026,132.93921210267263
sampled_peak,8.25404185268019,3.0,72.0,2,3.6292403693318396,0.14007897611813366,1.6664193086440426,31.56206005300964,99.91563767332146,45.979993004524104,11.2743815312172,106.57071416783837,48.468450264408496,2360.2586524695967,0.7831585764311166,0.009745792075586963,0.01388053548641164,0.9763736724380017,0.0,593.9438311354924,169.45654661329297,8163.929411270013,0.38475062736835336,0.004151347667934616,0.25925925925925924,0.85,0.022846537980765417,0.02261850663269037,0.1008649836024018,0.0009830091578964964,0.0023134225810686067,134.87896916938337
sampled_peak,8.25404185268019,3.0,72.0,3,4.443297536219614,0.1522051097638986,2.228531986373961,24.73337397967224,95.52049722556592,48.03697639802316,8.665134189973758,100.75546233618186,50.52930637946225,2557.9494628398297,0.7890972686013222,0.00430042136057511,0.006386469263423637,0.9893131093760024,0.0,681.8393391896595,217.3862168767579,10473.043178525782,0.31718428973730195,0.004151347667934616,0.7037037037037037,1.0,0.02274393723662286,0.022790022788273346,0.10122668615277902,0.0004353174033916436,0.0010644115439039394,140.61396063060178
primary_excess,1000.0,3.0,0.0,1,0.0,0.0,0.0,415.1347667934616,0.0,0.0,141.00773847342992,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004151347667934616,0.037037037037037035,0.7,0.0,0.0,0.0,0.0,0.0,0.0
primary_excess,1000.0,3.0,0.0,2,0.0,0.0,0.0,415.1347667934616,0.0,0.0,141.00773847342992,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004151347667934616,0.25925925925925924,0.85,0.0,0.0,0.0,0.0,0.0,0.0
primary_excess,1000.0,3.0,0.0,3,0.0,0.0,0.0,415.1347667934616,0.0,0.0,141.00773847342992,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004151347667934616,0.7037037037037037,1.0,0.0,0.0,0.0,0.0,0.0,0.0
primary_excess,1000.0,3.0,6.0,1,992.394585952542,0.000884894005203639,2.967220952151319,0.3298983792733411,292.97701394539706,0.8237278373789794,71.6400682143417,169.21260792528065,0.38728371919770327,2.854081957266915,0.0008033144469239966,0.9999999995969417,3.6997702116706655e-10,3.3080857671969807e-11,0.0,33.6017105853318,0.06594708339543452,3.1771409513501183,3.2602178488556883e-11,0.004151347667934616,0.037037037037037035,0.7,0.0004265509733627613,2.3200630999518334e-05,6.826536782173559e-10,6.826536779422066e-10,6.166283686117775e-11,1.0777408507288209
primary_excess,1000.0,3.0,6.0,2,993.3631824435677,0.0008890651695285449,2.974999080353453,0.32794217893098715,291.504847052851,0.8324247193649413,70.6624996603385,170.94871279639798,0.415657873459773,3.2344390548813102,0.0009523473262525972,0.9999999992978402,6.422639114808019e-10,5.989647901306582e-11,0.0,34.75112221487871,0.0751016321578492,3.6181808012824876,5.899528659650864e-11,0.004151347667934616,0.25925925925925924,0.85,0.0004831411213125276,2.7504869337741252e-05,1.13744341584313e-09,1.137443415044463e-09,1.0704398524680033e-10,1.1567010125875823
