case,order,secondary_nm,primary_nm,time_h,permeability_fluorescence,committed_fraction,membrane_compromised_cumulative,atp_proxy,caspase_proxy,ldh_proxy,surface_complex_copies,internalized_complex_copies,payload_copies,delivered_payload_cumulative,core_committed,rim_committed
reference,simultaneous,100.0,0.1778279410038923,48.0,0.33475525,0.44209325,0.31817073,0.60345178,0.12392252,0.24901218,2422.52758937,2343.282981,356.24834522,786.25923598,3.841e-05,0.62516773
reference,simultaneous,100.0,0.1778279410038923,72.0,0.68567038,0.70179347,0.6548224,0.31087172,0.04697107,0.34706061,2473.16774909,2508.58008253,459.4605745,1466.16122699,0.00151881,0.94796024
reference,simultaneous,100.0,0.464158883361278,24.0,0.03347902,0.08964123,0.03180705,0.88573873,0.05783418,0.02946298,5208.70658627,4171.77694219,382.72192974,565.2771804,3.2e-07,0.1273121
reference,simultaneous,100.0,0.464158883361278,48.0,0.55075663,0.62919804,0.52521627,0.4073493,0.10398178,0.37006187,6187.71547106,6005.79504777,917.47742145,2030.17969004,0.00073144,0.85690234
reference,simultaneous,100.0,0.464158883361278,72.0,0.83133727,0.85737774,0.80906374,0.16354263,0.048314,0.37371371,6269.12585071,6374.28987944,1173.41096365,3764.70575774,0.02635935,0.98611718
reference,simultaneous,100.0,1.2115276586285888,24.0,0.12267444,0.25473606,0.11657626,0.76576704,0.1381598,0.10542357,13153.54843181,10638.77661088,983.76112145,1455.42827648,6.9e-06,0.36071459
reference,simultaneous,100.0,1.2115276586285888,48.0,0.70507066,0.78546488,0.68222723,0.25825335,0.10323765,0.44432068,15007.31857443,14748.40641836,2292.22431463,5118.01611783,0.01537561,0.93252305
reference,simultaneous,100.0,1.2115276586285888,72.0,0.93568517,0.95264302,0.92480071,0.06063547,0.02784231,0.37622519,14802.77406425,15178.78566488,2845.44862653,9307.39814981,0.32298858,0.99410126
reference,simultaneous,100.0,3.1622776601683795,24.0,0.23735106,0.40569961,0.22609729,0.63727059,0.17960232,0.19817296,29617.77101928,25172.88076179,2416.72354384,3602.09674349,0.00021764,0.55646309
reference,simultaneous,100.0,3.1622776601683795,48.0,0.83233915,0.90107781,0.8187169,0.13713472,0.08236091,0.49933463,28960.61202189,29686.92027923,4956.85647632,11531.37938453,0.28142934,0.95971518
reference,simultaneous,100.0,3.1622776601683795,72.0,0.97903713,0.98935212,0.97622769,0.01745634,0.01312443,0.34408179,27223.44555651,28316.7975931,5577.50298513,19595.25378381,0.88519549,0.99658278
reference,simultaneous,100.0,8.25404185268019,24.0,0.35492751,0.56240409,0.34302453,0.5079376,0.21937957,0.29354039,45141.04527668,42637.07790529,4658.80568064,7189.07376616,0.02323595,0.66905482
reference,simultaneous,100.0,8.25404185268019,48.0,0.90648952,0.95691415,0.90187366,0.07035,0.05504049,0.51003746,39199.43259622,41835.35796973,7646.13518591,19221.27133512,0.82633456,0.9712161
reference,simultaneous,100.0,8.25404185268019,72.0,0.99121759,0.99634757,0.99071894,0.00661445,0.00562863,0.30390435,34850.8431467,36889.92854658,7711.52457841,30096.15413159,0.98497745,0.99757348
reference,simultaneous,100.0,21.544346900318843,24.0,0.46077033,0.68351949,0.45408162,0.40402844,0.22943787,0.38054005,48561.9209216,51396.92457635,6425.83966784,10351.57898904,0.42699674,0.72360839
reference,simultaneous,100.0,21.544346900318843,48.0,0.93510175,0.97251372,0.93384959,0.04714534,0.03866414,0.49365825,39489.41414906,42856.35232375,8529.27641239,23424.26939244,0.94764234,0.97623468
reference,simultaneous,100.0,21.544346900318843,72.0,0.99415855,0.99768528,0.99403891,0.00424542,0.00364636,0.27782479,35647.260265,37573.5416251,8029.41364527,34484.55874498,0.99558652,0.99799901
reference,simultaneous,100.0,56.23413251903491,24.0,0.51546783,0.73234053,0.51287397,0.35653293,0.21946656,0.42260611,47988.13250804,51918.39772278,6996.77042329,11672.63457656,0.65535016,0.74585909
reference,simultaneous,100.0,56.23413251903491,48.0,0.94444938,0.97701805,0.94404721,0.03985799,0.03297084,0.48123925,39447.50717839,42754.25698931,8662.66968653,24740.90603309,0.97010345,0.97822258
reference,simultaneous,100.0,56.23413251903491,72.0,0.99504288,0.99806545,0.99500539,0.00355694,0.00306006,0.26599638,35790.11290613,37660.97488646,8065.15721864,35799.62462064,0.99748308,0.99816688
reference,simultaneous,100.0,146.77992676220705,24.0,0.4913681,0.71359595,0.49024566,0.37647565,0.22335029,0.40673251,32522.38062317,35070.78817444,4762.10740958,8007.06780029,0.68065425,0.71967311
reference,simultaneous,100.0,146.77992676220705,48.0,0.93996458,0.97502478,0.93978301,0.04305665,0.03524176,0.48598923,26860.54039426,29068.56735977,5880.7803354,16866.44330875,0.97199265,0.9755824
